Date,Open,High,Low,Close,Adj Close,Volume
11/18/2015,463.799988,465.649994,454.975006,456,436.671021,5142766
11/19/2015,459.450012,469.350006,458.625,467.375,447.563873,5569752
11/20/2015,467,476.399994,462.774994,473.424988,453.357422,5167930
11/23/2015,475,478.950012,473.100006,476.875,456.661224,4800026
11/24/2015,476.5,485.799988,475.524994,483.850006,463.340515,6768886
11/26/2015,485.5,495.975006,484.125,494.325012,473.371552,10883224
11/27/2015,494.5,496.25,487.049988,489.524994,468.774963,4979394
11/30/2015,489.25,492.200012,481.149994,483.549988,463.053223,13678054
12/1/2015,482,489.399994,480.625,482.950012,462.478699,5934650
12/2/2015,483.125,489.850006,482.25,488.975006,468.248291,3462408
12/3/2015,487.450012,494.475006,487.049988,488.600006,467.88916,5194048
12/4/2015,486.149994,488.100006,480.700012,482.725006,462.263214,6146002
12/7/2015,482.725006,486.5,474.875,476.024994,455.847229,6621556
12/8/2015,474.450012,476.799988,468.049988,470.450012,450.508545,3443452
12/9/2015,468.100006,471.725006,456.424988,457.950012,438.538361,4194236
12/10/2015,461.25,476.899994,460,475.174988,455.033234,8499730
12/11/2015,475.875,479.5,471.450012,476.475006,456.278137,8300090
12/14/2015,473.799988,481.75,473,477.549988,457.307526,4829460
12/15/2015,478.5,488.975006,476.825012,487.950012,467.266724,7186122
12/16/2015,487.950012,493.774994,486.75,489.325012,468.583435,5530496
12/17/2015,490.024994,507.5,489,504.850006,483.450378,8854870
12/18/2015,501.899994,504.5,495,495.950012,474.927643,7322040
12/21/2015,493.950012,499.5,492.174988,496.049988,475.023376,5637670
12/22/2015,496.399994,501.299988,492,493.649994,472.725128,5293656
12/23/2015,495.899994,503.450012,495,501.899994,480.625427,5906346
12/24/2015,501.950012,503.600006,498.149994,500.274994,479.069305,5441138
12/28/2015,500.299988,506.875,500,505.200012,483.785553,5891016
12/29/2015,505.200012,509.350006,503.575012,507.700012,486.179596,6818120
12/30/2015,507.5,508,501,502.25,480.960602,3726642
12/31/2015,501.700012,509.850006,499.549988,507.299988,485.796509,8450132
1/1/2016,504.899994,509.450012,504.100006,507.674988,486.15564,2476270
1/4/2016,502.5,506.899994,493.350006,497.649994,476.555573,13793142
1/5/2016,500.149994,505,498.5,502.575012,481.27179,6832918
1/6/2016,503.799988,519.200012,500.200012,516.099976,494.223511,12233710
1/7/2016,510.524994,514,504.024994,506.625,485.150116,9024438
1/8/2016,510,516.450012,508.350006,512.875,491.135223,9743678
1/11/2016,507.975006,530.400024,505.5,525.799988,503.512329,13265342
1/12/2016,527.5,532.700012,520.549988,522.724976,500.567719,10685522
1/13/2016,526.549988,544.875,523.599976,538.424988,515.602234,32825622
1/14/2016,531.924988,540.5,526.525024,530.825012,508.324341,12719826
